Duration (ms),Status Code,Response Body,Timestamp
186,201,Lift ride recorded for skier 29522,09/03/2024 15:11:54
146,201,Lift ride recorded for skier 80935,09/03/2024 15:11:54
150,201,Lift ride recorded for skier 91241,09/03/2024 15:11:54
150,201,Lift ride recorded for skier 21680,09/03/2024 15:11:54
147,201,Lift ride recorded for skier 50438,09/03/2024 15:11:54
148,201,Lift ride recorded for skier 64568,09/03/2024 15:11:54
145,201,Lift ride recorded for skier 54903,09/03/2024 15:11:54
147,201,Lift ride recorded for skier 48382,09/03/2024 15:11:54
137,201,Lift ride recorded for skier 46962,09/03/2024 15:11:54
143,201,Lift ride recorded for skier 72045,09/03/2024 15:11:54
130,201,Lift ride recorded for skier 52408,09/03/2024 15:11:54
150,201,Lift ride recorded for skier 73111,09/03/2024 15:11:54
159,201,Lift ride recorded for skier 4941,09/03/2024 15:11:54
164,201,Lift ride recorded for skier 12985,09/03/2024 15:11:54
142,201,Lift ride recorded for skier 80415,09/03/2024 15:11:54
140,201,Lift ride recorded for skier 87138,09/03/2024 15:11:54
143,201,Lift ride recorded for skier 7445,09/03/2024 15:11:54
140,201,Lift ride recorded for skier 97120,09/03/2024 15:11:54
140,201,Lift ride recorded for skier 67561,09/03/2024 15:11:54
144,201,Lift ride recorded for skier 89289,09/03/2024 15:11:54
149,201,Lift ride recorded for skier 14718,09/03/2024 15:11:54
136,201,Lift ride recorded for skier 84348,09/03/2024 15:11:54
155,201,Lift ride recorded for skier 19730,09/03/2024 15:11:54
119,201,Lift ride recorded for skier 27590,09/03/2024 15:11:54
125,201,Lift ride recorded for skier 49748,09/03/2024 15:11:54
131,201,Lift ride recorded for skier 60587,09/03/2024 15:11:54
131,201,Lift ride recorded for skier 80190,09/03/2024 15:11:54
137,201,Lift ride recorded for skier 5264,09/03/2024 15:11:54
127,201,Lift ride recorded for skier 1114,09/03/2024 15:11:54
127,201,Lift ride recorded for skier 89957,09/03/2024 15:11:54
130,201,Lift ride recorded for skier 80729,09/03/2024 15:11:54
126,201,Lift ride recorded for skier 14610,09/03/2024 15:11:54
145,201,Lift ride recorded for skier 33839,09/03/2024 15:11:54
122,201,Lift ride recorded for skier 62223,09/03/2024 15:11:54
124,201,Lift ride recorded for skier 92186,09/03/2024 15:11:54
108,201,Lift ride recorded for skier 83526,09/03/2024 15:11:54
119,201,Lift ride recorded for skier 37502,09/03/2024 15:11:54
130,201,Lift ride recorded for skier 55030,09/03/2024 15:11:54
114,201,Lift ride recorded for skier 78232,09/03/2024 15:11:54
179,201,Lift ride recorded for skier 39112,09/03/2024 15:11:54
152,201,Lift ride recorded for skier 6147,09/03/2024 15:11:55
142,201,Lift ride recorded for skier 21574,09/03/2024 15:11:55
189,201,Lift ride recorded for skier 21342,09/03/2024 15:11:55
151,201,Lift ride recorded for skier 14317,09/03/2024 15:11:55
154,201,Lift ride recorded for skier 22150,09/03/2024 15:11:55
231,201,Lift ride recorded for skier 84840,09/03/2024 15:11:54
216,201,Lift ride recorded for skier 68333,09/03/2024 15:11:54
251,201,Lift ride recorded for skier 44626,09/03/2024 15:11:54
233,201,Lift ride recorded for skier 69839,09/03/2024 15:11:54
221,201,Lift ride recorded for skier 21466,09/03/2024 15:11:54
217,201,Lift ride recorded for skier 64222,09/03/2024 15:11:54
193,201,Lift ride recorded for skier 17025,09/03/2024 15:11:55
198,201,Lift ride recorded for skier 48700,09/03/2024 15:11:55
198,201,Lift ride recorded for skier 59762,09/03/2024 15:11:55
195,201,Lift ride recorded for skier 13630,09/03/2024 15:11:55
183,201,Lift ride recorded for skier 50848,09/03/2024 15:11:55
189,201,Lift ride recorded for skier 70941,09/03/2024 15:11:55
182,201,Lift ride recorded for skier 27945,09/03/2024 15:11:55
186,201,Lift ride recorded for skier 39259,09/03/2024 15:11:55
194,201,Lift ride recorded for skier 23274,09/03/2024 15:11:55
211,201,Lift ride recorded for skier 58992,09/03/2024 15:11:55
184,201,Lift ride recorded for skier 71636,09/03/2024 15:11:55
306,201,Lift ride recorded for skier 78384,09/03/2024 15:11:55
285,201,Lift ride recorded for skier 16082,09/03/2024 15:11:55
294,201,Lift ride recorded for skier 18840,09/03/2024 15:11:55
331,201,Lift ride recorded for skier 73220,09/03/2024 15:11:55
333,201,Lift ride recorded for skier 64225,09/03/2024 15:11:55
337,201,Lift ride recorded for skier 73039,09/03/2024 15:11:55
307,201,Lift ride recorded for skier 54015,09/03/2024 15:11:55
311,201,Lift ride recorded for skier 20818,09/03/2024 15:11:55
343,201,Lift ride recorded for skier 74149,09/03/2024 15:11:55
330,201,Lift ride recorded for skier 48311,09/03/2024 15:11:55
340,201,Lift ride recorded for skier 289,09/03/2024 15:11:55
310,201,Lift ride recorded for skier 25096,09/03/2024 15:11:55
340,201,Lift ride recorded for skier 51206,09/03/2024 15:11:55
306,201,Lift ride recorded for skier 38465,09/03/2024 15:11:55
308,201,Lift ride recorded for skier 46438,09/03/2024 15:11:55
303,201,Lift ride recorded for skier 4124,09/03/2024 15:11:55
303,201,Lift ride recorded for skier 24372,09/03/2024 15:11:55
310,201,Lift ride recorded for skier 87408,09/03/2024 15:11:55
311,201,Lift ride recorded for skier 4160,09/03/2024 15:11:55
311,201,Lift ride recorded for skier 9803,09/03/2024 15:11:55
317,201,Lift ride recorded for skier 4075,09/03/2024 15:11:55
328,201,Lift ride recorded for skier 28467,09/03/2024 15:11:55
339,201,Lift ride recorded for skier 91941,09/03/2024 15:11:55
334,201,Lift ride recorded for skier 97707,09/03/2024 15:11:55
323,201,Lift ride recorded for skier 84288,09/03/2024 15:11:55
339,201,Lift ride recorded for skier 32464,09/03/2024 15:11:55
336,201,Lift ride recorded for skier 22881,09/03/2024 15:11:55
354,201,Lift ride recorded for skier 66244,09/03/2024 15:11:55
357,201,Lift ride recorded for skier 83226,09/03/2024 15:11:55
