Duration (ms),Status Code,Response Body,Timestamp
77,201,Lift ride recorded for skier 38352,10/03/2024 21:11:23
116,201,Lift ride recorded for skier 65965,10/03/2024 21:11:23
88,201,Lift ride recorded for skier 14806,10/03/2024 21:11:23
94,201,Lift ride recorded for skier 48281,10/03/2024 21:11:23
71,201,Lift ride recorded for skier 60896,10/03/2024 21:11:23
91,201,Lift ride recorded for skier 72788,10/03/2024 21:11:23
83,201,Lift ride recorded for skier 25478,10/03/2024 21:11:23
82,201,Lift ride recorded for skier 22773,10/03/2024 21:11:23
100,201,Lift ride recorded for skier 81965,10/03/2024 21:11:23
100,201,Lift ride recorded for skier 64765,10/03/2024 21:11:23
75,201,Lift ride recorded for skier 72996,10/03/2024 21:11:23
90,201,Lift ride recorded for skier 36960,10/03/2024 21:11:23
83,201,Lift ride recorded for skier 79449,10/03/2024 21:11:23
70,201,Lift ride recorded for skier 87629,10/03/2024 21:11:23
80,201,Lift ride recorded for skier 40477,10/03/2024 21:11:23
75,201,Lift ride recorded for skier 98150,10/03/2024 21:11:23
75,201,Lift ride recorded for skier 10337,10/03/2024 21:11:23
86,201,Lift ride recorded for skier 99320,10/03/2024 21:11:23
76,201,Lift ride recorded for skier 6797,10/03/2024 21:11:23
85,201,Lift ride recorded for skier 35254,10/03/2024 21:11:23
83,201,Lift ride recorded for skier 56449,10/03/2024 21:11:23
